gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Ain Zaghouan,580000.0,136,2.0,2.0,1-5 ans,
tunis,Ain Zaghouan,560000.0,300,2.0,2.0,Nouveau,
tunis,Ain Zaghouan,232000.0,64,1.0,1.0,Nouveau,
tunis,Ain Zaghouan,231000.0,66,1.0,1.0,Nouveau,
tunis,Ain Zaghouan,550000.0,160,3.0,3.0,Nouveau,
tunis,Ain Zaghouan,370000.0,50,1.0,1.0,Bon état,
tunis,Ain Zaghouan,240000.0,53,1.0,1.0,Bon état,
tunis,Aouina,420000.0,124,2.0,2.0,Nouveau,
tunis,Ariana Ville,825000.0,162,3.0,2.0,Nouveau,
tunis,Ariana Ville,558000.0,101,2.0,1.0,Bon état,
tunis,Ariana Ville,572000.0,103,2.0,1.0,Bon état,
tunis,Les Berges Du Lac,1560000.0,312,3.0,2.0,Nouveau,
tunis,Ain Zaghouan,970000.0,182,3.0,3.0,Nouveau,
tunis,Bab Bhar,320000.0,90,3.0,1.0,1-5 ans,3ème
tunis,Ain Zaghouan,313000.0,85,2.0,1.0,Nouveau,
tunis,Aouina,,104,2.0,1.0,10-20 ans,4ème
tunis,Gammarth,400000.0,166,3.0,2.0,Nouveau,
tunis,La Goulette,,108,3.0,1.0,Nouveau,
tunis,Ariana Ville,600000.0,120,2.0,2.0,Nouveau,
tunis,Cite El Khadra,750000.0,198,3.0,2.0,10-20 ans,
tunis,Aouina,338950.0,89,2.0,1.0,Nouveau,
tunis,Ariana Ville,,88,2.0,1.0,Nouveau,
tunis,Ariana Ville,,180,3.0,2.0,Nouveau,
tunis,Ariana Ville,,88,2.0,2.0,Nouveau,
tunis,Ariana Ville,,160,3.0,2.0,Nouveau,
tunis,Ariana Ville,,176,4.0,2.0,Nouveau,
tunis,Ariana Ville,547000.0,118,2.0,2.0,Nouveau,
tunis,Ariana Ville,,106,2.0,1.0,Nouveau,
tunis,Aouina,345000.0,116,2.0,1.0,1-5 ans,
tunis,Ain Zaghouan,260000.0,70,1.0,1.0,Nouveau,
tunis,Ariana Ville,459000.0,134,3.0,2.0,Nouveau,
tunis,Ariana Ville,975000.0,175,3.0,3.0,Bon état,
tunis,Aouina,250000.0,75,1.0,1.0,Moins d'un an,
tunis,Ariana Ville,450000.0,82,3.0,1.0,Nouveau,
tunis,Ariana Ville,480000.0,110,2.0,1.0,Nouveau,
tunis,Aouina,415000.0,132,3.0,1.0,Nouveau,
tunis,El Omrane,550000.0,179,3.0,3.0,Bon état,
tunis,Ariana Ville,385000.0,55,1.0,1.0,Bon état,
tunis,Hrairia,135000.0,85,2.0,1.0,5-10 ans,1er
tunis,Aouina,175000.0,75,1.0,1.0,Bon état,
tunis,El Omrane,90000.0,75,3.0,1.0,Bon état,
tunis,Ariana Ville,380000.0,93,2.0,1.0,Nouveau,
tunis,Aouina,,104,2.0,1.0,5-10 ans,
tunis,Ariana Ville,850000.0,183,3.0,1.0,1-5 ans,1er
tunis,Les Berges Du Lac,415000.0,100,2.0,1.0,20-30 ans,2ème
tunis,Ariana Ville,350000.0,128,3.0,2.0,Bon état,
tunis,Aouina,230000.0,107,2.0,1.0,10-20 ans,2ème
tunis,Aouina,,108,2.0,1.0,Nouveau,
tunis,Aouina,270000.0,100,2.0,1.0,10-20 ans,2ème
tunis,El Ouardia,,74,1.0,,20-30 ans,2ème
tunis,El Menzah 7,220000.0,110,4.0,2.0,À rénover,3ème
tunis,Aouina,390000.0,153,3.0,1.0,Nouveau,5ème
tunis,Ain Zaghouan,1126000.0,170,3.0,2.0,Nouveau,
tunis,Les Berges Du Lac,784000.0,142,2.0,2.0,Nouveau,8ème
tunis,Ain Zaghouan,632000.0,166,2.0,2.0,Nouveau,
tunis,Bab Bhar,500000.0,178,3.0,1.0,Bon état,
tunis,El Ouardia,300000.0,154,4.0,1.0,Nouveau,
tunis,Bab Bhar,295000.0,120,3.0,1.0,Bon état,
tunis,Gammarth,660000.0,180,3.0,2.0,Bon état,1er
tunis,Aouina,520000.0,200,3.0,2.0,Bon état,
tunis,Ariana Ville,850000.0,400,4.0,2.0,20-30 ans,
tunis,Ariana Ville,550000.0,121,2.0,1.0,1-5 ans,1er
tunis,Les Berges Du Lac,,200,3.0,2.0,Bon état,
tunis,Ariana Ville,590000.0,124,2.0,2.0,Moins d'un an,3ème
tunis,Les Berges Du Lac,,266,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,1500000.0,222,3.0,3.0,Bon état,
tunis,Les Berges Du Lac,,312,3.0,3.0,Nouveau,
tunis,Ain Zaghouan,507000.0,159,3.0,3.0,Moins d'un an,5ème
tunis,Ain Zaghouan,259000.0,74,1.0,1.0,Moins d'un an,4ème
tunis,Ain Zaghouan,600000.0,182,3.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,480000.0,118,,,,
tunis,Gammarth,,643,,,,
tunis,Ariana Ville,720000.0,158,3.0,3.0,1-5 ans,2ème
tunis,Ariana Ville,226000.0,70,1.0,1.0,Nouveau,
tunis,Aouina,360000.0,128,4.0,1.0,Nouveau,
tunis,Gammarth,930000.0,150,2.0,1.0,1-5 ans,
tunis,Aouina,370000.0,154,3.0,2.0,5-10 ans,
tunis,Ariana Ville,,138,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,1445000.0,289,3.0,3.0,Bon état,
tunis,Ariana Ville,280000.0,67,1.0,1.0,Bon état,
tunis,Aouina,,61,1.0,1.0,Nouveau,
tunis,Ain Zaghouan,389000.0,118,2.0,2.0,Moins d'un an,3ème
tunis,Les Berges Du Lac,849000.0,194,3.0,1.0,Nouveau,
tunis,Ain Zaghouan,371000.0,109,2.0,2.0,Nouveau,
tunis,Ariana Ville,548000.0,97,2.0,2.0,Nouveau,
tunis,Les Berges Du Lac,1800000.0,327,4.0,3.0,Bon état,
tunis,Ain Zaghouan,376000.0,118,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,416000.0,125,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,900000.0,245,3.0,2.0,1-5 ans,
tunis,Gammarth,,306,4.0,4.0,Nouveau,
tunis,El Manar,720000.0,220,4.0,4.0,Bon état,
tunis,Ariana Ville,520000.0,153,3.0,2.0,5-10 ans,1er
tunis,Ariana Ville,690000.0,188,3.0,2.0,5-10 ans,5ème
tunis,Hrairia,205000.0,140,3.0,1.0,10-20 ans,1er
tunis,Aouina,270000.0,94,2.0,1.0,Moins d'un an,3ème
tunis,Ariana Ville,435000.0,76,,,,
tunis,Ariana Ville,700000.0,157,3.0,2.0,Nouveau,
tunis,Ariana Ville,555000.0,100,2.0,1.0,Nouveau,
tunis,El Ouardia,270000.0,100,2.0,1.0,Bon état,
tunis,Ain Zaghouan,241000.0,67,1.0,1.0,Nouveau,
tunis,El Manar,260000.0,109,3.0,1.0,Bon état,
tunis,Aouina,370000.0,147,3.0,2.0,Bon état,5ème
tunis,Ariana Ville,300000.0,103,3.0,1.0,Bon état,
tunis,Gammarth,980000.0,150,2.0,2.0,Nouveau,
tunis,Gammarth,720000.0,111,1.0,1.0,Bon état,
tunis,Ariana Ville,720000.0,130,2.0,2.0,Moins d'un an,1er
tunis,Les Berges Du Lac,865000.0,194,3.0,3.0,10-20 ans,
tunis,Aouina,230000.0,74,1.0,1.0,1-5 ans,6ème
tunis,Les Berges Du Lac,1000000.0,232,3.0,2.0,Bon état,
tunis,Le Bardo,1850000.0,465,3.0,1.0,Moins d'un an,
tunis,Ariana Ville,795000.0,181,3.0,3.0,Moins d'un an,
tunis,Aouina,594000.0,112,3.0,2.0,Bon état,
tunis,Ariana Ville,250000.0,109,,,,
tunis,Ain Zaghouan,490000.0,115,2.0,2.0,Moins d'un an,
tunis,El Menzah 7,420000.0,116,2.0,1.0,1-5 ans,3ème
tunis,Ain Zaghouan,386000.0,117,2.0,2.0,Moins d'un an,
tunis,Ain Zaghouan,640000.0,189,3.0,,5-10 ans,
tunis,Ain Zaghouan,400000.0,122,2.0,2.0,Moins d'un an,3ème
tunis,Ariana Ville,825000.0,162,,,,
tunis,Gammarth,692500.0,138,2.0,2.0,Nouveau,
tunis,Gammarth,972000.0,149,2.0,1.0,Nouveau,
tunis,Gammarth,531552.0,138,2.0,1.0,Nouveau,
tunis,Ariana Ville,398000.0,112,,,,
tunis,Le Bardo,300000.0,137,,,,
tunis,Ariana Ville,825000.0,163,3.0,2.0,Nouveau,
tunis,Le Bardo,270000.0,93,2.0,1.0,5-10 ans,
tunis,Le Bardo,260000.0,100,3.0,1.0,Bon état,2ème
